pair_idx,pair,verb1,verb2,parameter,significance
0,throw vs fling,throw,fling,FORCE,0
0,throw vs fling,throw,fling,HAND,2
0,throw vs fling,throw,fling,ARM,0
0,throw vs fling,throw,fling,HD,0
0,throw vs fling,throw,fling,VD,0
1,throw vs chuck,throw,chuck,FORCE,0
1,throw vs chuck,throw,chuck,HAND,0
1,throw vs chuck,throw,chuck,ARM,0
1,throw vs chuck,throw,chuck,HD,0
1,throw vs chuck,throw,chuck,VD,0
2,throw vs cast,throw,cast,FORCE,2
2,throw vs cast,throw,cast,HAND,2
2,throw vs cast,throw,cast,ARM,0
2,throw vs cast,throw,cast,HD,0
2,throw vs cast,throw,cast,VD,0
3,throw vs hurl,throw,hurl,FORCE,3
3,throw vs hurl,throw,hurl,HAND,0
3,throw vs hurl,throw,hurl,ARM,0
3,throw vs hurl,throw,hurl,HD,0
3,throw vs hurl,throw,hurl,VD,0
4,throw vs toss,throw,toss,FORCE,3
4,throw vs toss,throw,toss,HAND,3
4,throw vs toss,throw,toss,ARM,3
4,throw vs toss,throw,toss,HD,0
4,throw vs toss,throw,toss,VD,0
5,fling vs chuck,fling,chuck,FORCE,1
5,fling vs chuck,fling,chuck,HAND,0
5,fling vs chuck,fling,chuck,ARM,0
5,fling vs chuck,fling,chuck,HD,0
5,fling vs chuck,fling,chuck,VD,0
6,fling vs cast,fling,cast,FORCE,1
6,fling vs cast,fling,cast,HAND,0
6,fling vs cast,fling,cast,ARM,0
6,fling vs cast,fling,cast,HD,0
6,fling vs cast,fling,cast,VD,0
7,fling vs hurl,fling,hurl,FORCE,3
7,fling vs hurl,fling,hurl,HAND,0
7,fling vs hurl,fling,hurl,ARM,0
7,fling vs hurl,fling,hurl,HD,0
7,fling vs hurl,fling,hurl,VD,0
8,fling vs toss,fling,toss,FORCE,2
8,fling vs toss,fling,toss,HAND,2
8,fling vs toss,fling,toss,ARM,3
8,fling vs toss,fling,toss,HD,0
8,fling vs toss,fling,toss,VD,0
9,chuck vs cast,chuck,cast,FORCE,3
9,chuck vs cast,chuck,cast,HAND,0
9,chuck vs cast,chuck,cast,ARM,0
9,chuck vs cast,chuck,cast,HD,0
9,chuck vs cast,chuck,cast,VD,0
10,chuck vs hurl,chuck,hurl,FORCE,2
10,chuck vs hurl,chuck,hurl,HAND,0
10,chuck vs hurl,chuck,hurl,ARM,0
10,chuck vs hurl,chuck,hurl,HD,0
10,chuck vs hurl,chuck,hurl,VD,0
11,chuck vs toss,chuck,toss,FORCE,3
11,chuck vs toss,chuck,toss,HAND,3
11,chuck vs toss,chuck,toss,ARM,3
11,chuck vs toss,chuck,toss,HD,0
11,chuck vs toss,chuck,toss,VD,0
12,cast vs hurl,cast,hurl,FORCE,3
12,cast vs hurl,cast,hurl,HAND,1
12,cast vs hurl,cast,hurl,ARM,0
12,cast vs hurl,cast,hurl,HD,0
12,cast vs hurl,cast,hurl,VD,0
13,cast vs toss,cast,toss,FORCE,0
13,cast vs toss,cast,toss,HAND,1
13,cast vs toss,cast,toss,ARM,3
13,cast vs toss,cast,toss,HD,0
13,cast vs toss,cast,toss,VD,0
14,hurl vs toss,hurl,toss,FORCE,3
14,hurl vs toss,hurl,toss,HAND,3
14,hurl vs toss,hurl,toss,ARM,3
14,hurl vs toss,hurl,toss,HD,0
14,hurl vs toss,hurl,toss,VD,0
