language,verb1,verb2,pair,parameter,significance
English,throw,fling,throw vs fling,FORCE,0
English,throw,fling,throw vs fling,HAND,3
English,throw,fling,throw vs fling,ARM,0
English,throw,fling,throw vs fling,HD,0
English,throw,fling,throw vs fling,VD,0
English,throw,chuck,throw vs chuck,FORCE,0
English,throw,chuck,throw vs chuck,HAND,2
English,throw,chuck,throw vs chuck,ARM,0
English,throw,chuck,throw vs chuck,HD,0
English,throw,chuck,throw vs chuck,VD,0
English,throw,cast,throw vs cast,FORCE,3
English,throw,cast,throw vs cast,HAND,3
English,throw,cast,throw vs cast,ARM,1
English,throw,cast,throw vs cast,HD,0
English,throw,cast,throw vs cast,VD,0
English,throw,hurl,throw vs hurl,FORCE,3
English,throw,hurl,throw vs hurl,HAND,0
English,throw,hurl,throw vs hurl,ARM,0
English,throw,hurl,throw vs hurl,HD,0
English,throw,hurl,throw vs hurl,VD,0
English,throw,toss,throw vs toss,FORCE,3
English,throw,toss,throw vs toss,HAND,3
English,throw,toss,throw vs toss,ARM,3
English,throw,toss,throw vs toss,HD,0
English,throw,toss,throw vs toss,VD,0
English,fling,chuck,fling vs chuck,FORCE,1
English,fling,chuck,fling vs chuck,HAND,0
English,fling,chuck,fling vs chuck,ARM,0
English,fling,chuck,fling vs chuck,HD,0
English,fling,chuck,fling vs chuck,VD,0
English,fling,cast,fling vs cast,FORCE,2
English,fling,cast,fling vs cast,HAND,0
English,fling,cast,fling vs cast,ARM,0
English,fling,cast,fling vs cast,HD,0
English,fling,cast,fling vs cast,VD,0
English,fling,hurl,fling vs hurl,FORCE,3
English,fling,hurl,fling vs hurl,HAND,2
English,fling,hurl,fling vs hurl,ARM,0
English,fling,hurl,fling vs hurl,HD,0
English,fling,hurl,fling vs hurl,VD,0
English,fling,toss,fling vs toss,FORCE,2
English,fling,toss,fling vs toss,HAND,3
English,fling,toss,fling vs toss,ARM,3
English,fling,toss,fling vs toss,HD,0
English,fling,toss,fling vs toss,VD,0
English,chuck,cast,chuck vs cast,FORCE,3
English,chuck,cast,chuck vs cast,HAND,0
English,chuck,cast,chuck vs cast,ARM,0
English,chuck,cast,chuck vs cast,HD,0
English,chuck,cast,chuck vs cast,VD,1
English,chuck,hurl,chuck vs hurl,FORCE,1
English,chuck,hurl,chuck vs hurl,HAND,0
English,chuck,hurl,chuck vs hurl,ARM,0
English,chuck,hurl,chuck vs hurl,HD,0
English,chuck,hurl,chuck vs hurl,VD,0
English,chuck,toss,chuck vs toss,FORCE,3
English,chuck,toss,chuck vs toss,HAND,3
English,chuck,toss,chuck vs toss,ARM,3
English,chuck,toss,chuck vs toss,HD,0
English,chuck,toss,chuck vs toss,VD,2
English,cast,hurl,cast vs hurl,FORCE,3
English,cast,hurl,cast vs hurl,HAND,2
English,cast,hurl,cast vs hurl,ARM,0
English,cast,hurl,cast vs hurl,HD,0
English,cast,hurl,cast vs hurl,VD,0
English,cast,toss,cast vs toss,FORCE,0
English,cast,toss,cast vs toss,HAND,2
English,cast,toss,cast vs toss,ARM,2
English,cast,toss,cast vs toss,HD,0
English,cast,toss,cast vs toss,VD,0
English,hurl,toss,hurl vs toss,FORCE,3
English,hurl,toss,hurl vs toss,HAND,3
English,hurl,toss,hurl vs toss,ARM,3
English,hurl,toss,hurl vs toss,HD,0
English,hurl,toss,hurl vs toss,VD,1
