Language,Verb,FORCE Mean,FORCE SD,HAND Mean,HAND SD,ARM bend,ARM straight,HD forward,HD sidewise,VD upward,VD downward
Chinese,reng 掷,3.05,0.51,5.43,1.82,11,18,21,8,21,8
Chinese,diu 丢,2.33,0.83,4.63,1.08,6,24,16,12,23,5
Chinese,pao 抛,3.16,0.45,6.65,2.52,14,15,29,1,30,0
Chinese,tou 投,3.21,0.52,9.13,0.79,30,0,30,0,29,1
Chinese,shuai 摔,4.55,0.56,8.51,1.11,29,0,25,4,0,29
Chinese,shuai 甩,3.74,0.68,6.27,1.49,21,8,9,20,14,15
English,throw,3.62,0.64,8.58,1.91,24,5,29,0,26,3
English,fling,3.44,0.70,6.41,1.62,17,11,25,4,27,2
English,chuck,3.91,0.68,7.06,2.18,19,10,27,2,21,8
English,cast,3.01,0.47,6.18,2.30,15,14,27,2,28,1
English,hurl,4.39,0.74,8,2.07,21,8,28,1,24,5
English,toss,3.01,0.22,4.5,1.63,3,26,29,0,29,0
German,werfen,3.25,0.47,8.41,1.76,26,4,30,0,30,0
German,stossen,3.42,0.65,7.51,0.95,27,1,28,0,24,4
German,schleudern,4.1,0.62,7.38,1.87,21,8,30,0,22,8
German,schmeissen,3.81,0.74,8.3,1.70,27,3,30,0,20,10
German,schmettern,4.79,0.40,9.72,1.36,25,3,29,0,4,25
German,pfeffern,4.41,0.76,8.61,1.48,29,1,30,0,6,24
